pid,title,language,original_label,rights,location_of_original,photographer_or_studio,scanned_from,_date,location,description,additional_notes,permission_display,on_server,on_website
SHA-03-017,SHA-03-017,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 20.2 by 25.8,1976-1977,Emirates,Sharhabil Ahmed and band Abu Dhabi Television Theater Concert,,yes,yes,yes
SHA-03-017,SHA-03-017,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 20.2 by 25.8,1976-1977,الامارات,شرحبيل احمد وفرقته حفل مسرح التلفزيون ابو ظبي ,,yes,yes,yes
SHA-03-018,SHA-03-018,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 16.5 by 22,1965,"Khartoum, Omdurman National Theater",Concert with children Sharhabil Ahmed Kamil Hussain Mahdi 'Ali Imam and Ahmed Ibrahim Daoud,,yes,no,no
SHA-03-018,SHA-03-018,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 16.5 by 22,1965,امدرمان، المسرح القومي,حفلة مع الاطفال شرحبيل احمد كامل حسين مهدي على امام احمد ابراهيم داوود,,yes,no,no
SHA-03-019,SHA-03-019,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,1991-1992,"Khartoum, Hilton",Ramadan Concert Sharhabil Ahmed Kamil Hussain 'Ali Yaqoub Shihab Shahira Sharhabil Nahid Sharhabil,,yes,no,no
SHA-03-019,SHA-03-019,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,1991-1992,الخرطوم، هلتون,حفلة رمضان من ضمنهم على يعقوب كامل حسين شرحبيل احمد شهاب شهيرة شرحبيل ناهد شرحبيل,,yes,no,no
SHA-03-020,SHA-03-020,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 17.9 by 24,1957-1958,"Egypt, Manufiya, Sirs al Layan",All foreign envoys and teachers including Sharhabil Ahmed and Abdel Mun'im Najjar,,yes,no,no
SHA-03-020,SHA-03-020,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 17.9 by 24,1957-1958,مصر، المنوفية، سرس الليان,كل المبعوثين والاساتذة من ضمنهم شرحبيل احمد وعبد المنعم نجار,,yes,no,no
SHA-03-021,SHA-03-021,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 14.8 by 21.6,2004,"Egypt, Cairo",Advertisement for Sharhabil Ahmed concert,,yes,no,no
SHA-03-021,SHA-03-021,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 14.8 by 21.6,2004,مصر، القاهرة,الاعلام لحفلة شرحبيل احمد,,yes,no,no
SHA-03-022,SHA-03-022,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.8 by 12.6,1991,Khartoum,Concert Sharhabil Ahmed Muhammad Dallo Ibrahim Omer 'Adil Kukab,,yes,no,no
SHA-03-022,SHA-03-022,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 8.8 by 12.6,1991,الخرطوم,حفلة شرحبيل احمد محمد دللو ابراهيم عمر عادل كوكاب,,yes,no,no
SHA-03-023,SHA-03-023,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.8 by 12.4,1970s,"Emirates, Sharga",Concert Sharhabil Ahmed Osama Abullah Deng,,yes,no,no
SHA-03-023,SHA-03-023,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 8.8 by 12.4,1970s,الامارات، الشارقة,حفلة شرحبيل احمد اسامة عبد الله دينق,,yes,no,no
SHA-03-024,SHA-03-024,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.8 by 12.6,1984,Libya,Sharhabil Ahmed concert,,yes,no,no
SHA-03-024,SHA-03-024,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 8.8 by 12.6,1984,ليبيا,حفلة شرحبيل احمد,,yes,no,no
SHA-03-025,SHA-03-025,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.8 by 12.4,1980s,Khartoum,Sharhabil Ahmed concert with 'Ali Yagoub Muhammad Mustafa Sharhabil Ahmed Kamil Hussain and Wahid Deng,,yes,no,no
