pid,title,language,original_label,rights,location_of_original,photographer_or_studio,scanned_from,_date,location,description,additional_notes,permission_display,on_server,on_website
SHA-01-001,SHA-01-001,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 9 by 13.8,1957-1958,مصر، القاهرة، حديقة الاندلس,شرحبيل احمد يقعد خلف الاسود الحجرية في الحديقة ,,yes,no,no
SHA-01-002,SHA-01-002,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10 by 12.7 ,1957-1958,مصر، المنوفية، سرس الليان,مجموعة من المبعوثين الاجانب من ضمنهم شرحبيل احمد، عبد المنعم نجار، عبد الحليم البرجيني,,yes,no,no
SHA-01-003,SHA-01-003,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 9 by 13.8,1976-1977,السعودية، مكة، الحرم,شرحبيل احمد وامه,,yes,no,no
SHA-01-004,SHA-01-004,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 9 by 13.8,1957-1958,مصر، القاهرة، حديقة الاندلس,شرحبيل احمد امام تمثال,,yes,no,no
SHA-01-005,SHA-01-005,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 9 by 13.8,1957-1958,مصر، المنوفية، سرس الليان,شرحبيل احمد واصدقائه امام تمثال في معهد التربية الاساسية,التمثال يرمز الصحة والتغدية والنظاقة,yes,no,no
SHA-02-001,SHA-02-001,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، اديس ابابا، نادي السوداني,حفل موسيقي شرحبيل احمد والفرقة يعزفون امام جمهور راقص,"""كان حفلا جميلا راقصا""",yes,no,no
SHA-02-002,SHA-02-002,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، اديس ابابا,اربعة فتيات وصبي في ملابس سهرة ,"""بعض المعجبين""",yes,no,no
SHA-02-003,SHA-02-003,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، اديس ابابا,مجموعة الفنانين موظفين سفارة السوداني حول طاولة من ضمنهم شرحبيل احمد على نور الجليل احمد المصطفى عبد اللطيف الحاوي ,,yes,no,no
SHA-02-004,SHA-02-004,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، مصوع,مجموعة من كبار موظفين السفارة مرافقين طول الرحلة من ضمنهم خضر الحاوي عبد اللطيف الحاوي حسن سروجي,,yes,no,no
SHA-02-005,SHA-02-005,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، اديس ابابا,مجموعة من الرجال من ضمنهم خضر الحاوي عثمان حسين سيد احمد. علي نور الجليل حسن سروجي خلف الله الاعلام شرحبيل احمد احمد داوود سيد خليفة طيوبه بدر التهامي والطفلة الصغيرة,,yes,no,no
SHA-02-006,SHA-02-006,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اريتريا، اسمرا,رجال يرحبون الفرقة,,yes,no,no
SHA-02-007,SHA-02-007,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، اديس ابابا,حفلة ,,yes,no,no
SHA-02-008,SHA-02-008,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، مصوع,غداء في المطعم من ضمنهم حسن سروجي سيد احمد عثمان حسين,,yes,no,no
SHA-02-009,SHA-02-009,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اريتريا، اسمرا,جمهور امام سينيما امباير,اقيم فيه حفل شرحبيل احمد,yes,yes,no
SHA-02-010,SHA-02-010,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، مصوع,البعثة المفية ,,yes,no,no
SHA-02-011,SHA-02-011,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا,رجال في الطائرة من ضمنهم احمد المصطفى بدر التهامي خلف الله ابو السيد,في طريق مدينة جما,yes,no,no
SHA-02-012,SHA-02-012,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، اديس ابابا,رجال في الطائرة من ضمنهم احمد المصطفى بدر التهامي خلف الله ابو السيد خضر الحاوي سيد خليفة شرحبيل احمد عثمان حسين,,yes,no,no
SHA-02-013,SHA-02-013,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، اديس ابابا,مجموعة الرجال,,yes,no,no
SHA-02-014,SHA-02-014,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، اديس ابابا,يعزف احمد داوود وحسن سروجي في مسرح اقير فاكر,,yes,no,no
SHA-02-015,SHA-02-015,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، اديس ابابا، نادي السوداني,عثمان حسين في وصلة غنائية من ضمنهم عبد اللطيف خضر بدر التهامي طيوبا حسن سروجي سيد احمد حسين جاد السيد,,yes,no,no
SHA-02-016,SHA-02-016,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، مصوع,استقبال البعثة ,,yes,no,no
SHA-02-017,SHA-02-017,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، اديس ابابا,البعثة والاخرين في السفارة السوداني او في بيت السفير,,yes,no,no
SHA-02-018,SHA-02-018,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، اديس ابابا,جمهور من ضمنهم احمد المصطفى عثمان حسين خضر الحاوي شرحبيل احمد عبد اللطيف خضر الحاوي طيوبا,,yes,no,no
SHA-03-001,SHA-03-001,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 17.9 by 22.2,1953-1954,امدرمان ,اشبال نادي الهلال من ضمنهم كامل حسين شرحبيل احمد النعيم فرج الله عوض صديق عبد الرحمن قسم السيد ابو شنب عوضين عبده عبد القادر كمال محمد يوسف,,yes,no,no
SHA-03-002,SHA-03-002,ar,,شرحبيل احمد,شرحبيل احمد,استوديو الفريد,photograph 6.5 by 10,"December, 1971",بحري، المزاد,شرحبيل احمد,,yes,no,no
SHA-03-003,SHA-03-003,ar,,شرحبيل احمد,شرحبيل احمد,استوديو الفريد,photograph 6.5 by 10,"December, 1971",بحري، المزاد,شرحبيل احمد,"""هذه الصورة اخذتها قبل ذهابي رحلة للقاهرة اجازة معهد الموسيقى""",yes,no,no
SHA-03-004,SHA-03-004,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,1991-1992,الخرطوم، هلتون,حفلة رمضان من ضمنهم شرحبيل احمد كامل حسين وشهرية شرحبيل وناهد شرحبيل,,yes,no,no
SHA-03-005,SHA-03-005,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,1991-1992,الخرطوم، هلتون,حفلة رمضان من ضمنهم على يعقوب كامل حسين شرحبيل احمد شهاب شهيرة شرحبيل ناهد شرحبيل,,yes,no,no
SHA-03-006,SHA-03-006,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,2005,الخرطوم,شرحبيل احمد في عاصمة الثقافة العربية,,yes,no,no
SHA-03-007,SHA-03-007,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 7.4 by 10.5,1960s,بورتسودان,شرحبيل احمد وثلاثة اخرين,,yes,yes,yes
SHA-03-008,SHA-03-008,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 9.9 by 15,c. 1959,الخرطوم,شرحبيل احمد بالجيتار,,yes,no,no
SHA-03-009,SHA-03-009,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,1995,كافوري، منزل السفير الفرنسي,شرحبيل احمد علي يعقوب كامل حسين زكية ابو القاسم في حفلة ,,yes,no,no
SHA-03-010,SHA-03-010,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10 by 14.5,1991-1995,الخرطوم، دار النشر جامعة الخرطوم,معجبين راقصين اما فرقة شرحبيل احمد,,yes,no,no
SHA-03-011,SHA-03-011,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 7.3 by 10.5,1963-1964,ملكال,احمد داوود ومحمدية في المطار,,yes,no,no
