pid,title,language,original_label,rights,location_of_original,photographer_or_studio,scanned_from,_date,location,description,additional_notes,permission_display,on_server,on_website
SHA-01-001,SHA-01-001,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 9 by 13.8,1957-1958,"Egypt, Cairo, Andalus Garden",Sharhabil Ahmed sitting behind statues of lions in garden,,yes,no,no
SHA-01-002,SHA-01-002,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10 by 12.7 ,1957-1958,"Egypt, Manufiya, Sirs al Layan","Gathering of foreign country envoys including Sharhabil Ahmed, Abdel Mun'im Najjar, Abdel Halim Berjini",,yes,no,no
SHA-01-003,SHA-01-003,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 9 by 13.8,1976-1977,"Saudi Arabia, Mecca, the Haram",Sharhabil Ahmed and his mother,,yes,no,no
SHA-01-004,SHA-01-004,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 9 by 13.8,1957-1958,"Egypt, Cairo, Andalus Garden",Sharhabil Ahmed in front of statue ,,yes,no,no
SHA-01-005,SHA-01-005,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 9 by 13.8,1957-1958,"Egypt, Manufiya, Sirs al Layan",Sharhabil Ahmed and friends in front of statue at teaching institute,The statue represents health nutrition and hygene,yes,no,no
SHA-02-001,SHA-02-001,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Addis Ababa, Sudanese Club",Concert performance Sharhabil Ahmed and band perform in front of a dancing audience,"""The concert had lovely dancing""",yes,no,no
SHA-02-002,SHA-02-002,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Addis Ababa",Four girls and one boy in formal clothing,"""Some fans""",yes,no,no
SHA-02-003,SHA-02-003,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Addis Ababa",Group of artists and Sudanese diplomats around a table including Sharhabil Ahmed Ali Nur al Jalil Ahmed al Mustafa and Abdel Latif al Hawi,,yes,no,no
SHA-02-004,SHA-02-004,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Massawa",Group of Sudanese diplomats accompanying band including Khidir al Hawi Abdel Latif al Hawi and Hassan Saroji,,yes,no,no
SHA-02-005,SHA-02-005,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Addis Ababa",Group of men among them Khidir al Hawi Osman Hussain Sid Ahmed 'Ali Nur al Jalil Hassan Saroji Khalifallah al 'Alam Sharhabil Ahmed Ahmed Daoud Sayed Khalifa Tayuba Badr al Tahami and a small child,,yes,no,no
SHA-02-006,SHA-02-006,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Eritrea, Asmara",Men welcoming the band,,yes,no,no
SHA-02-007,SHA-02-007,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Addis Ababa",party,,yes,no,no
SHA-02-008,SHA-02-008,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Massawa",Lunch at restaurant among them Hassan Saroji Sid Ahmed and Osman Hussain,,yes,no,no
SHA-02-009,SHA-02-009,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Eritrea, Asmara",Crowd in front of Cinema Empire,Sharhabil Ahmed concert held there,yes,yes,no
SHA-02-010,SHA-02-010,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Massawa",Band meeting ,,yes,no,no
SHA-02-011,SHA-02-011,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,Ethiopia,Men in plane among them Ahmed al Mustafa Badr al Tuhami and Khalifallah Abu al Sid,On the way to the city of Jimma,yes,no,no
SHA-02-012,SHA-02-012,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Addis Ababa",Men on plane among them Ahmed al Mustafa Badr al Tahami Khalifallah Abu al Sid Khidir al Hawi Sharhabil Ahmed and Osman Hussain,,yes,no,no
SHA-02-013,SHA-02-013,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Addis Ababa",Group of men,,yes,no,no
SHA-02-014,SHA-02-014,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Addis Ababa",Ahmed Daoud and Hassan Saroji performing Ager Fakkir theater,,yes,no,no
SHA-02-015,SHA-02-015,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Addis Ababa, Sudanese Club",Osman Hussain's performance set with Abdel Latif Khidir Badr al Tahami Tayuba Hassan Saroji Sid Ahmed and Hussain Jad al Sid,,yes,no,no
SHA-02-016,SHA-02-016,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Massawa",Reception of band ,,yes,no,no
SHA-02-017,SHA-02-017,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Addis Ababa",Band and others at Sudanese Embassy or house of ambassador,,yes,no,no
SHA-02-018,SHA-02-018,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Addis Ababa",Crowd among them Ahmed Mustafa Osman Hussain Khidir al Hawi Sharhabil Ahmed Abdel Latif Khidir al Hawi Tayuba ,,yes,no,no
SHA-03-001,SHA-03-001,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 17.9 by 22.2,1953-1954,Omdurman,Hilal Youth Team among them Kamil Hussain Sharhabil Ahmed al Na'im Farajallah 'Awad Siddiq Abdel Rahman Gasim al Sid Abu Shanab 'Awadain 'Abdu Abdel Gadir Kamal Muhammad Yusef,,yes,no,no
SHA-03-002,SHA-03-002,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio al Farid,photograph 6.5 by 10,"December, 1971","Bahri, al Mazad",Sharhabil Ahmed,,yes,no,no
SHA-03-003,SHA-03-003,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio al Farid,photograph 6.5 by 10,"December, 1971","Bahri, al Mazad",Sharhabil Ahmed,"""I had this picture taken before going to Cairo Music Institute vacation""",yes,no,no
SHA-03-004,SHA-03-004,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,1991-1992,"Khartoum, Hilton ",Ramadan Concert Sharhabil Ahmed Kamil Hussain ٍShahira Sharhabil Nahid Sharhabil,,yes,no,no
SHA-03-005,SHA-03-005,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,1991-1992,"Khartoum, Hilton",Ramadan Concert Sharhabil Ahmed Kamil Hussain 'Ali Yaqoub Shihab Shahira Sharhabil Nahid Sharhabil,,yes,no,no
SHA-03-006,SHA-03-006,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,2005,Khartoum,Sharhabil Ahmed at Arab Cultural Capital,,yes,no,no
SHA-03-007,SHA-03-007,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 7.4 by 10.5,1960s,Port Sudan,Sharhabil Ahmed and three others,,yes,yes,yes
SHA-03-008,SHA-03-008,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 9.9 by 15,c. 1959,Khartoum,Sharhabil Ahmed with a guitar,,yes,no,no
SHA-03-009,SHA-03-009,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,1995,"Kafouri, French Ambassador's Residence",Sharhabi Ahmed 'Ali Yagoub Kamild Hussain and Zakia Abu Gasim in concert,,yes,no,no
SHA-03-010,SHA-03-010,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10 by 14.5,1991-1995,"Khartoum, Khartoum University Publishing House",Dancing fans in front of Sharhabil Ahmed's band,,yes,no,no
SHA-03-011,SHA-03-011,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 7.3 by 10.5,1963-1964,Malakal,Ahmed Daoud and Muhammadiya in the airport,,yes,no,no
SHA-03-012,SHA-03-012,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.8 by 13,1980s,Burri,Sharhabil Ahmed with guitar,,yes,no,no
SHA-03-013,SHA-03-013,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.4 by 12.4,1965-1967,Khartoum Zoo,Sharhabil Ahmed,was used as cover of one of Sharhabil Ahmed's albums,yes,no,no
SHA-03-014,SHA-03-014,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 9.8 by 12.4,mid 1970s,"Emirates, Sharga",Sharhabil Ahmed Osama Abdullah Deng,,yes,no,no
SHA-03-015,SHA-03-015,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 12.4,1971-1975,"Khartoum, New Saint James",Sharhabil Ahmed,,yes,no,no
