pid,title,language,collection,original_label,rights,location_of_original,photographer_or_studio,scanned_from,_date,location,description,additional_notes,permission_display,on_server,on_website
SHA-01-001,SHA-01-001,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 9 by 13.8,1957-1958,"Egypt, Cairo, Andalus Garden",Sharhabil Ahmed sitting behind statues of lions in garden,,yes,no,no
SHA-01-001,SHA-01-001,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 9 by 13.8,1957-1958,مصر، القاهرة، حديقة الاندلس,شرحبيل احمد يقعد خلف الاسود الحجرية في الحديقة ,,yes,no,no
SHA-01-002,SHA-01-002,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10 by 12.7 ,1957-1958,"Egypt, Manufiya, Sirs al Layan","Gathering of foreign country envoys including Sharhabil Ahmed, Abdel Mun'im Najjar, Abdel Halim Berjini",,yes,no,no
SHA-01-002,SHA-01-002,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10 by 12.7 ,1957-1958,مصر، المنوفية، سرس الليان,مجموعة من المبعوثين الاجانب من ضمنهم شرحبيل احمد، عبد المنعم نجار، عبد الحليم البرجيني,,yes,no,no
SHA-01-003,SHA-01-003,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 9 by 13.8,1976-1977,"Saudi Arabia, Mecca, the Haram",Sharhabil Ahmed and his mother,,yes,no,no
SHA-01-003,SHA-01-003,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 9 by 13.8,1976-1977,السعودية، مكة، الحرم,شرحبيل احمد وامه,,yes,no,no
SHA-01-004,SHA-01-004,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 9 by 13.8,1957-1958,"Egypt, Cairo, Andalus Garden",Sharhabil Ahmed in front of statue ,,yes,no,no
SHA-01-004,SHA-01-004,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 9 by 13.8,1957-1958,مصر، القاهرة، حديقة الاندلس,شرحبيل احمد امام تمثال,,yes,no,no
SHA-01-005,SHA-01-005,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 9 by 13.8,1957-1958,"Egypt, Manufiya, Sirs al Layan",Sharhabil Ahmed and friends in front of statue at teaching institute,The statue represents health nutrition and hygene,yes,no,no
SHA-01-005,SHA-01-005,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 9 by 13.8,1957-1958,مصر، المنوفية، سرس الليان,شرحبيل احمد واصدقائه امام تمثال في معهد التربية الاساسية,التمثال يرمز الصحة والتغدية والنظاقة,yes,no,no
SHA-02-001,SHA-02-001,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Addis Ababa, Sudanese Club",Concert performance Sharhabil Ahmed and band perform in front of a dancing audience,"""The concert had lovely dancing""",yes,no,no
SHA-02-001,SHA-02-001,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، اديس ابابا، نادي السوداني,حفل موسيقي شرحبيل احمد والفرقة يعزفون امام جمهور راقص,"""كان حفلا جميلا راقصا""",yes,no,no
SHA-02-002,SHA-02-002,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Addis Ababa",Four girls and one boy in formal clothing,"""Some fans""",yes,no,no
SHA-02-002,SHA-02-002,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، اديس ابابا,اربعة فتيات وصبي في ملابس سهرة ,"""بعض المعجبين""",yes,no,no
SHA-02-003,SHA-02-003,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Addis Ababa",Group of artists and Sudanese diplomats around a table including Sharhabil Ahmed Ali Nur al Jalil Ahmed al Mustafa and Abdel Latif al Hawi,,yes,no,no
SHA-02-003,SHA-02-003,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، اديس ابابا,مجموعة الفنانين موظفين سفارة السوداني حول طاولة من ضمنهم شرحبيل احمد على نور الجليل احمد المصطفى عبد اللطيف الحاوي ,,yes,no,no
SHA-02-004,SHA-02-004,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Massawa",Group of Sudanese diplomats accompanying band including Khidir al Hawi Abdel Latif al Hawi and Hassan Saroji,,yes,no,no
SHA-02-004,SHA-02-004,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، مصوع,مجموعة من كبار موظفين السفارة مرافقين طول الرحلة من ضمنهم خضر الحاوي عبد اللطيف الحاوي حسن سروجي,,yes,no,no
